time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
167936,82,462,0.8961785699999999,363,26.3,0.3725494146347046,0.004715138223036775,-0.00629666307104344,0.074169921875,0.0003,-0.2903817948885262,0.2,810,0.007589951,-0.003713210579007864
169984,83,462,0.86150002,367,28.12,0.5097229480743408,0.003257334321097005,-0.010236680111847817,0.10654296875,0.0003,-0.3195448816753924,0.2,820,0.017124718,0.01032104529440403
172032,84,462,0.8677857599999999,372,26.08,0.20483702421188354,0.010952010188339046,-0.004878323152661323,0.08427734375,0.0003,-0.3716254960745573,0.2,830,0.007948229,-0.0057623120956122875
174080,85,462,0.8566072000000001,376,26.51,0.4371799826622009,0.0052834537127637304,-0.009022727956471499,0.0646484375,0.0003,-0.3057960961945355,0.2,840,0.009012356,0.001596106681972742
176128,86,462,0.8670357599999998,381,26.31,0.3278147578239441,0.006445139714924153,-0.007623649721790571,0.069384765625,0.0003,-0.3050688032992184,0.2,850,0.012159108,-0.005103130824863911
178176,87,462,0.8762143300000002,385,27.12,0.4409601092338562,0.00463298572540225,-0.004515449765312951,0.081201171875,0.0003,-0.31444997480139136,0.2,860,0.023804719,0.011370277032256126
180224,88,462,0.8788928799999998,389,25.68,0.36234939098358154,0.005437122177318088,-0.009548142994754016,0.07470703125,0.0003,-0.35578438434749843,0.2,870,0.012463728,0.006493212655186653
182272,89,462,0.8890357399999997,393,25.52,0.4992765188217163,0.004878284313599579,-0.006166719828615897,0.049560546875,0.0003,-0.27887518955394625,0.2,880,0.007193525,0.0027368750888854265
184320,90,462,0.8861429100000002,398,26.34,0.526216983795166,0.0030930787786928706,-0.0013147649631719105,0.0666015625,0.0003,-0.24882803806103765,0.2,890,0.026617568,0.008591421879827976
186368,91,462,0.8800357200000001,403,25.47,0.492872416973114,0.0034673460562771653,-0.0045948564147693105,0.080712890625,0.0003,-0.28916697525419294,0.2,900,0.010750219,-0.010148110799491405
188416,92,461,0.85782147,407,24.22,0.3817463517189026,0.006525794062690693,-0.005639415763289435,0.083447265625,0.0003,-0.28905308269895613,0.2,910,0.008435126,0.005113125778734684
190464,93,461,0.8682143000000001,412,23.65,0.20253896713256836,0.014816342764970614,-0.005421428796398686,0.065966796875,0.0003,-0.2857526385225356,0.2,920,0.01192289,-0.022179417312145233
192512,94,460,0.88635716,418,26.26,0.28922581672668457,0.00903661292286415,-0.002755169660667889,0.067822265625,0.0003,-0.29227703269571065,0.2,930,0.028661095,0.0153175238519907
194560,95,460,0.8670714099999999,422,23.76,0.4066537022590637,0.0036022879441588882,-0.004601418924721656,0.074560546875,0.0003,-0.3138031595852226,0.2,940,0.013700839,-0.0013732265215367079
196608,96,460,0.8587499899999999,427,23.49,0.2788323163986206,0.010098009853754775,-0.005798261745803756,0.064697265625,0.0003,-0.31947959484532473,0.2,950,0.011669234,-0.0037894761189818382
198656,97,460,0.8809999500000001,431,25.31,0.23381412029266357,0.011324804645846598,-0.007793341189972125,0.09873046875,0.0003,-0.34857521699741484,0.2,960,0.021779235,-0.004787744954228401
200704,98,460,0.87575001,435,24.24,0.3289933204650879,0.004621113659959519,-0.006232853511028225,0.09658203125,0.0003,-0.36178307025693357,0.2,970,0.02465707,-0.011288267560303211
