time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
5048,198.64,3440640,70,681,0.0,-0.008607965334401039,7.608738873387626e-09,0.2,0.08404947916666666,0.014543925,0.273115873336792,690,0.0003,-1.1306337213143707,-0.03141278401017189
5047,200.0,3489792,71,691,0.0,-0.006151746757495857,9.804554667915596e-09,0.2,0.08966471354166666,0.009971005,0.6848704814910889,700,0.0003,-1.0996151683852076,0.028507640585303307
5045,198.38,3538944,72,701,0.0,-0.005910155912715709,8.07559348388447e-09,0.2,0.060931396484375,0.010380025,0.7653687000274658,710,0.0003,-1.0520948807398478,-0.0003765723668038845
5044,200.0,3588096,73,711,0.0,-0.005430751868091951,1.591279471241149e-08,0.2,0.09823811848958333,0.014524247,0.7116584181785583,720,0.0003,-1.0485951947048306,-0.03222443908452988
5042,197.06,3637248,74,721,0.0,-0.003578543128120752,2.121249163668324e-08,0.2,0.05329182942708333,0.006249582,0.7347218990325928,730,0.0003,-1.0820704440275828,-0.006739525124430656
5040,198.89,3686400,75,731,0.0,-0.00487801878710646,1.2157257758854028e-08,0.2,0.046223958333333336,0.008955013,0.7251150608062744,740,0.0003,-1.0596641941306493,0.005609753075987101
5039,198.24,3735552,76,741,0.0,-0.0035044030797204565,1.751776238409555e-08,0.2,0.034810384114583336,0.0057696626,0.6804249286651611,750,0.0003,-1.0285373019364974,-0.00042685947846621275
5037,200.0,3784704,77,751,0.0,-0.0036782754913171328,1.692362021934246e-08,0.2,0.037733968098958334,0.009161014,0.768036425113678,760,0.0003,-1.0283075039585432,0.008251487277448177
5036,200.0,3833856,78,761,0.0,-0.010394000149608474,4.614271058592191e-08,0.2,0.08517049153645834,0.01388253,0.6011872291564941,770,0.0003,-1.0641182803548872,-0.018792513757944107
5035,198.65,3883008,79,771,0.0,-0.007408459831276559,9.055702966720027e-09,0.2,0.08991902669270833,0.047373544,0.8001306056976318,780,0.0003,-0.9373863584982852,-0.006315737962722778
5034,200.0,3932160,80,781,0.0,-0.00886083754454982,1.5728146432852074e-08,0.2,0.077301025390625,0.011634454,0.7643852829933167,790,0.0003,-0.9303281216571728,-0.012122000567615032
5032,193.53,3981312,81,791,0.0,-0.006995057079499626,2.3543469322847966e-08,0.2,0.0581787109375,0.015885388,0.5668317079544067,800,0.0003,-0.9946208346324662,-0.022271839901804924
