time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
165888,81,458,0.0,361,216.99,0.588524580001831,2.8994185143460525e-06,-0.008081368316197768,0.194189453125,0.0003,-1.161109010130167,0.2,800,0.009730708,0.01628781296312809
167936,82,458,0.0,366,214.44,0.6006593704223633,2.0929049281193102e-05,-0.006784073374001309,0.047705078125,0.0003,-1.1754501983523369,0.2,810,0.009673812,0.0023234460968524218
169984,83,458,0.0,370,216.65,-0.8894683122634888,1.570270205419888e-06,-0.0038856979423144366,0.071142578125,0.0003,-1.1957852385938168,0.2,820,0.010452181,-0.031544409692287445
172032,84,458,0.0,375,216.65,0.014887392520904541,3.0803361694586863e-06,-0.0072683718302869234,0.0353515625,0.0003,-1.1707169767469168,0.2,830,0.00714265,-0.006359484046697617
174080,85,458,0.0,379,220.89,-29.961427688598633,7.209117530132536e-06,-0.006989616886130534,0.10869140625,0.0003,-1.1513129971921443,0.2,840,0.007957537,0.09133628755807877
176128,86,458,0.0,384,229.76,0.2218388319015503,0.00019886133201652,-0.007595770524585532,0.170751953125,0.0003,-1.1898944973945618,0.2,850,0.021947755,-0.03171521797776222
178176,87,458,0.0,388,229.99,0.5368739366531372,3.3929702135004904e-06,-0.007385121976403753,0.171337890625,0.0003,-1.225987634435296,0.2,860,0.024788713,-0.021686183288693428
180224,88,458,0.0,392,230.0,0.55721116065979,1.8807946111643048e-06,-0.007316642758814851,0.243017578125,0.0003,-1.2723491314798594,0.2,870,0.03244453,-0.0018008609768003225
182272,89,458,0.0,397,229.45,-0.23508524894714355,1.8600862579543076e-06,-0.009754702427017037,0.115869140625,0.0003,-1.3817454695701599,0.2,880,0.046363883,0.006573297083377838
184320,90,458,0.0,401,224.13,0.9399436712265015,8.90608229688894e-06,-0.005014193712850101,0.154541015625,0.0003,-1.2852938544005155,0.2,890,0.043716356,0.009773909114301205
186368,91,459,0.0,405,225.1,0.3191627264022827,1.861410862935564e-06,-0.008203533112828154,0.111328125,0.0003,-1.2840591914951802,0.2,900,0.01713237,-0.01457296498119831
188416,92,459,0.0,410,227.65,-12.18437671661377,5.382584725766027e-07,-0.003242029015382286,0.084619140625,0.0003,-1.3054339934140444,0.2,910,0.010664193,-0.004684820305556059
190464,93,459,0.0,414,224.1,-0.8880552053451538,5.683531777167516e-06,-0.007509007379121612,0.045849609375,0.0003,-1.2712270852178336,0.2,920,0.0150567535,0.001996665494516492
192512,94,459,0.0,418,220.31,-0.07208967208862305,2.026518912288111e-05,-0.006037875355832512,0.03916015625,0.0003,-1.0294968040660024,0.2,930,0.0065551996,-0.009318489581346512
194560,95,459,0.0,423,222.12,-3.310670852661133,4.8554882421392165e-06,-0.0031456903932848947,0.04404296875,0.0003,-1.0810589315369725,0.2,940,0.010888127,-0.008427882567048073
196608,96,460,0.0,427,216.34,-0.14072489738464355,3.2950635848294494e-06,-0.004716614762219251,0.118505859375,0.0003,-0.9867850609123707,0.2,950,0.010146732,-0.01410969439893961
198656,97,460,0.0,431,216.11,0.8129498958587646,2.804173117332276e-05,-0.006638847404246917,0.060498046875,0.0003,-0.9496395280584693,0.2,960,0.013982473,-0.008538800291717052
200704,98,460,0.0,435,218.65,0.22904491424560547,9.253694882360719e-06,-0.01060768443858251,0.14345703125,0.0003,-1.1207362463697792,0.2,970,0.03846559,0.0036529884673655033
