time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
3985,3047424,0.7601640224456787,62,17.82,764,610,-0.0010174513591967602,0.2,0.004103546,0.0003,-0.6836907249564926,0.01796518683671214,0.004372350871562958,0.275454580783844,0.03194986979166667,3000000,0.6,2
3985,3096576,0.8188281059265137,63,17.77,776,620,-0.001116205299028176,0.2,0.00427101,0.0003,-0.6855438296062251,0.01745570319556767,0.012976628728210926,0.27943599224090576,0.03390909830729167,,,
3986,3145728,0.836789071559906,64,18.11,789,630,-0.0016117111318938746,0.2,0.0048904037,0.0003,-0.6853257399052382,0.01587679905690796,0.004877684637904167,0.2944347858428955,0.03787027994791667,,,
3986,3194880,0.795945405960083,65,18.91,801,640,-0.0009010996927827364,0.2,0.0038369754,0.0003,-0.6760441991810997,0.016797875344127532,0.013184959068894386,0.2871706485748291,0.031111653645833334,,,
3986,3244032,0.7706913948059082,66,17.47,813,650,-0.0009193663609645834,0.2,0.004879376,0.0003,-0.6555607982290288,0.015543335318458655,0.0023206286132335663,0.2870480418205261,0.03824055989583333,,,
3986,3293184,0.7499530911445618,67,17.84,826,660,-0.0011835522642286377,0.2,0.00458375,0.0003,-0.6460808318418761,0.01680718777376266,0.01760092005133629,0.2864341139793396,0.037353515625,,,
3986,3342336,0.7974218726158142,68,18.25,838,670,-0.0011983605750477484,0.2,0.0038930513,0.0003,-0.6519996316793064,0.015550998701898303,0.007540369872003794,0.2987391948699951,0.034958902994791666,,,
3986,3391488,0.6952968835830688,69,16.32,850,680,-0.0016370157353473283,0.2,0.0049147326,0.0003,-0.6560123316943646,0.015891605127156556,0.000924229621887207,0.2963371276855469,0.04331258138020833,,,
3986,3440640,0.8093905448913574,70,17.79,862,690,-0.0008816152632789454,0.2,0.0042944546,0.0003,-0.6432873332252105,0.016665691876308605,0.009056645445525646,0.2817855477333069,0.032940673828125,,,
3986,3489792,0.7909374833106995,71,17.35,875,700,-0.001403338182171865,0.2,0.0044600735,0.0003,-0.619040809944272,0.01706307845233823,0.010546842589974403,0.27979230880737305,0.037215169270833334,,,
