time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,shield/actions_allowed,shield/actions_block_ignored,shield/actions_blocked,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/approx_kl,shield/stage,shield/delta,shield/transition_timestep
881,3440640,70,3903,42.26,2584647,0,585658,0.7569166421890259,-0.21480339621193706,-0.002760401444659995,0.0003,0.03393147786458333,0.011336815871618455,0.520362377166748,690,0.2,0.0035605565644800663,0.005329499,,,
894,3489792,71,3902,40.73,2633127,0,585658,0.7902222275733948,-0.2031834071346869,-0.0021393430569029686,0.0003,0.030216471354166666,0.011818028927518754,0.5191195607185364,700,0.2,0.0012606112286448479,0.00289168,,,
907,3538944,72,3899,37.56,2681599,0,585658,0.7030832767486572,-0.1933091625881692,-0.0018864375286284484,0.0003,0.027435302734375,0.010391517511986118,0.5435786247253418,710,0.2,0.0030493857339024544,0.0029937003,,,
920,3588096,73,3896,40.8,2730080,0,585658,0.7150833010673523,-0.19184425936546176,-0.0013487368955490335,0.0003,0.024898274739583334,0.011601433483641206,0.5356038212776184,720,0.2,0.0016931123100221157,0.0030331404,,,
934,3637248,74,3894,41.89,2778485,0,585658,0.7513055205345154,-0.1875714215449989,-0.001733910471375566,0.0003,0.02724609375,0.011084841215294242,0.5433802604675293,730,0.2,0.004860470071434975,0.002789377,,,
946,3686400,75,3893,41.53,2826957,0,585658,0.7871388792991638,-0.18919574474760642,-0.0016624722816231952,0.0003,0.024894205729166667,0.011361445033495935,0.534416675567627,740,0.2,0.009398386813700199,0.0022297718,,,
959,3735552,76,3892,40.23,2875336,0,585658,0.774555504322052,-0.17570352981953571,-0.0016144145148549191,0.0003,0.024222819010416667,0.011621137093607103,0.5180947780609131,750,0.2,0.00573514960706234,0.0028246318,,,
972,3784704,77,3891,42.75,2923743,0,585658,0.7558888792991638,-0.18054357854028544,-0.0016674091100261042,0.0003,0.025162760416666666,0.011469764458403612,0.531814455986023,760,0.2,0.0013299440033733845,0.002904825,,,
985,3833856,78,3890,41.8,2972258,0,585658,0.7430000901222229,-0.17599872953724116,-0.0014617198627699206,0.0003,0.024241129557291668,0.010610236261709361,0.5373246669769287,770,0.2,0.0021497057750821114,0.0027681086,,,
998,3883008,79,3889,41.73,3020583,0,585658,0.7600555419921875,-0.16707783266125867,-0.001520360369431728,0.0003,0.022308349609375,0.011708133187736773,0.5255561470985413,780,0.2,0.005119659937918186,0.0027332355,,,
1011,3932160,80,3889,40.68,3068772,0,585658,0.7168610095977783,-0.17265907893888652,-0.0013804490935096206,0.0003,0.023484293619791666,0.010956990811246214,0.5233721733093262,790,0.2,0.008187457919120789,0.005135136,,,
